Theta [deg],dB(rETotal) [] - Phi=0deg,dB(rETotal) [] - Phi=45deg,dB(rETotal) [] - Phi=90deg,dB(rEZ) [] - Phi=45deg
140,-23.2931050928536,-23.1439451533696,-19.4773793479746,-35.4630364994339
141,-23.6929203106423,-23.489511573246,-19.5667373943741,-35.5288058488479
142,-24.0668151649182,-23.8905735730812,-19.6607313785327,-35.5845876990263
143,-24.4005812724178,-24.3438191857767,-19.7583138853229,-35.6176190405149
144,-24.6789814717182,-24.8428934545538,-19.8580480271452,-35.6159768498492
145,-24.8873398883714,-25.3765749182298,-19.9581106765605,-35.5704774171421
146,-25.0136268520899,-25.9262730549908,-20.0563133406323,-35.4762837854258
147,-25.0505486752622,-26.4631396027048,-20.1501451830001,-35.3337567748367
148,-24.9969525176003,-26.9459959254976,-20.236842463731,-35.1482822640953
149,-24.8579985152314,-27.3227424894045,-20.3134872454006,-34.929174138728
150,-24.6440315871734,-27.5387145730183,-20.3771353055732,-34.6880665318473
151,-24.3686102248631,-27.5525691615522,-20.4249687983537,-34.4372949494383
152,-24.0463841512996,-27.3526543181493,-20.4544638210217,-34.1886285449547
153,-23.6913788118836,-26.9620173219451,-20.4635577670456,-33.9524920145361
154,-23.3159270931919,-26.4278118419868,-20.450797739593,-33.7376364778099
155,-22.9302115774455,-25.8037580266882,-20.415450909197,-33.5511337589991
156,-22.5422438665462,-25.1367990954679,-20.3575614030851,-33.3985601754002
157,-22.1580914569969,-24.4617633287723,-20.2779457582971,-33.284265727915
158,-21.78220635451,-23.801702636969,-20.1781284804758,-33.2116625172136
159,-21.4177650104784,-23.170507553202,-20.0602283613113,-33.1834976781822
160,-21.0669736650441,-22.5757264759425,-19.9268126088089,-33.2020974765562
161,-20.7313219126363,-22.0208163370967,-19.7807382373415,-33.2695818946959
162,-20.4117830735776,-21.5067230951936,-19.6249986097005,-33.3880558705171
163,-20.1089672066529,-21.0329202691089,-19.462588674818,-33.5597869145892
164,-19.8232350082687,-20.5980659772315,-19.2963969163429,-33.7873810337891
165,-19.5547808395402,-20.2004086844865,-19.1291267658363,-34.0739711276799
166,-19.303692104188,-19.8380330883698,-18.9632461550335,-34.4234354605163
167,-19.0699908946712,-19.5090062564459,-18.8009613102032,-34.8406697584281
168,-18.8536625672455,-19.2114622578332,-18.6442097122898,-35.3319469056754
169,-18.6546748268776,-18.9436492155385,-18.4946670141891,-35.9054166071625
170,-18.4729900279213,-18.7039536262644,-18.3537632257107,-36.5718305020364
171,-18.3085727108152,-18.490911121944,-18.2227043089752,-37.3456399535568
172,-18.1613938688191,-18.3032093274104,-18.1024962319217,-38.2467345053524
173,-18.0314330404443,-18.1396862892731,-17.9939693617323,-39.3033401744215
174,-17.9186790247884,-17.9993266019923,-17.8978017752381,-40.557161067777
175,-17.8231297954871,-17.881256521798,-17.8145406015849,-42.0732460892138
176,-17.7447920262974,-17.7847388421278,-17.7446209037277,-43.9610013564631
177,-17.6836805233896,-17.709167984994,-17.6883818726258,-46.4260108132313
178,-17.6398177754662,-17.6540655663908,-17.6460802775937,-49.9304010899936
179,-17.6132337746099,-17.6190765739201,-17.6179012125997,-55.9496132534207
180,-17.6039662219661,-17.6039662219661,-17.6039662219661,-313.503534594029
