Theta [deg],dB(rETotal) [] - Phi=0deg,dB(rETotal) [] - Phi=45deg,dB(rETotal) [] - Phi=90deg,dB(rEZ) [] - Phi=45deg
-77,-5.5372794727184,-9.86193853041726,-13.0256072942091,-15.8484904548845
-76,-6.02868218537346,-9.36268061170405,-10.6330570955572,-16.0962097944466
-75,-6.62829306924347,-8.90126154449146,-8.46482101732355,-15.8240526556416
-74,-6.59606965251711,-9.28796366851079,-7.82056538711765,-16.173547845417
-73,-5.84274595231061,-10.1089428447981,-8.67279229723627,-16.8698240161971
-72,-5.23429742870531,-10.1907976180472,-10.757450349075,-15.3864202967392
-71,-5.34761832098001,-9.43239575375009,-12.3424397101008,-12.635751302373
-70,-6.04517368542272,-9.04648515535274,-11.0182022185039,-11.0248478191532
-69,-6.43359276180332,-9.74812629125843,-9.10555138458155,-11.1523321181402
-68,-5.85807675418601,-11.4668895330569,-8.19057091913363,-13.2945634317514
-67,-5.10973371712879,-12.7194910159887,-8.1499838368109,-17.1389344892837
-66,-5.00696682149052,-11.8116800512171,-8.37760229362634,-16.4544155255298
-65,-5.54335150013681,-10.5010663073245,-8.37281773281794,-12.8915947641064
-64,-5.95026345088654,-10.0964473392013,-8.37962908928545,-11.3096429000086
-63,-5.56620249082087,-10.3417925325174,-8.99963743138299,-11.5659469288546
-62,-5.07202301519269,-10.2461489037604,-10.3117244688026,-13.0170632183023
-61,-5.46733967543718,-9.40987803626443,-10.8468901838129,-14.0705060397578
-60,-7.29846431933195,-8.60365760071025,-9.12396391064307,-13.5341916386752
-59,-10.3358014206512,-8.29408763710369,-7.05168016984754,-13.0356787702162
-58,-10.8147825698425,-8.06459700131716,-5.97865385182476,-13.8592768845533
-57,-8.18749775936128,-7.13297705758572,-6.13073079259692,-15.9463587689965
-56,-6.71325327793318,-5.6363355700663,-7.51575580674909,-16.5888036284484
-55,-7.07656308553886,-4.3619284033731,-9.86135493827959,-14.181713928385
-54,-9.12679302457868,-3.69489997752924,-11.3211759448594,-12.1953557988038
-53,-10.9294989244302,-3.56939680648871,-9.85775524972106,-11.6706442124638
-52,-8.80769292393993,-3.62642986125687,-7.85036680105149,-12.5607223069308
-51,-6.07787030301545,-3.45124243649414,-6.77541805550236,-14.5904742746144
-50,-4.60718116544763,-3.01026780085401,-6.7825897395853,-16.5730257533608
-49,-4.14976771031415,-2.65770738650465,-7.80690866841737,-16.6102922089532
-48,-4.03726954373677,-2.69375474865845,-9.40552551960907,-15.8241527901121
-47,-3.49736165856656,-3.13962482676196,-9.80147973080424,-15.9672332456589
-46,-2.41073101220146,-3.70395367103037,-7.98777801515341,-17.528745788369
-45,-1.32358159568881,-3.93302746184981,-6.0054393375476,-20.3478948022148
-44,-0.631703649709385,-3.71829642607014,-5.00209355878344,-22.3439038267346
-43,-0.374734140817686,-3.43900201057608,-5.18783159043787,-21.3997768265193
-42,-0.351761620746891,-3.42144863316943,-6.45662326721168,-20.5521376402522
-41,-0.252727731935161,-3.56651184250258,-7.55698439209867,-21.0804431361769
-40,0.111457575416924,-3.31536190864337,-5.87506267384119,-21.11285804045
-39,0.650493901490292,-2.22923787707903,-2.8819752148812,-17.9023938443964
-38,1.15128986504667,-0.681444639067463,-0.602555421279964,-14.2023488579396
-37,1.49443777168942,0.719699552654587,0.692347018367025,-11.5804427470648
-36,1.70354369580408,1.684878256847,1.11980124193064,-10.0369882719629
-35,1.88684381262568,2.17085972093279,0.884256101581225,-9.42803971975541
-34,2.13689147921212,2.26046171070653,0.402107536941614,-9.65986255383719
-33,2.44998976304321,2.13366738687491,0.4077627590248,-10.6548186435394
-32,2.7390575929927,2.04969066348506,1.33748973161383,-12.1945687322111
-31,2.91680447185559,2.2322366818899,2.70945451149173,-13.5202284839923
-30,2.9664914264707,2.69632748196176,3.8934967922225,-13.4481992224309
