"F [GHz]","dB(S(Port1,Port1)) []","dB(S(Port1,Port2)) []","dB(S(Port1,Port3)) []"
4.325,-23.0619193324794,-3.47310752857756,-3.44123882503321
4.35,-22.6901324850262,-3.47767263897263,-3.44583598009171
4.375,-22.2963572945288,-3.48257206251518,-3.45076545022682
4.4,-21.8897791563355,-3.48779903898509,-3.45602038670045
4.425,-21.4780893547306,-3.49334355145419,-3.4615907093793
4.45,-21.0674812166628,-3.49919236810689,-3.46746315026733
4.475,-20.6627823819359,-3.50532913628056,-3.47362134742509
4.5,-20.2676493070181,-3.51173452781385,-3.48004599206511
4.525,-19.8847754420565,-3.51838644008611,-3.48671502926029
4.55,-19.5160859652282,-3.52526025444236,-3.49360391704872
4.575,-19.162906781985,-3.53232915839658,-3.50068594860758
4.6,-18.8261043943849,-3.53956454166516,-3.50793264813802
4.625,-18.5061980639044,-3.54693648300715,-3.51531425719231
4.65,-18.2034477216993,-3.55441435708352,-3.52280034048321
4.675,-17.9179216257594,-3.56196761231254,-3.53036056273622
4.7,-17.6495476306502,-3.56956680803341,-3.53796572461099
4.725,-17.3981513804725,-3.57718507125901,-3.54558921638968
4.75,-17.1634842192444,-3.58480026584573,-3.5532091849415
4.775,-16.9452432695946,-3.59239844111428,-3.56081197713783
4.8,-16.7430863938499,-3.59997969672428,-3.56839799814065
4.825,-16.5566467517742,-3.60756888509166,-3.57599240140314
4.85,-16.3855591884344,-3.61523663579411,-3.58366609141471
4.875,-16.2295370280914,-3.62314406978726,-3.59158039106907
4.9,-16.0886363446952,-3.63164632405567,-3.60009046158998
4.925,-15.9642501894915,-3.64155251517164,-3.61000500192613
4.95,-15.8632137289483,-3.65479117266119,-3.62325099136788
4.975,-15.8149721213444,-3.67539749336541,-3.6438596127015
5,-15.8971997077452,-3.70047343513984,-3.66893133914953
5.025,-15.980360348379,-3.69281104013462,-3.66127690699713
5.05,-15.8874194500045,-3.67269483087937,-3.64117068778752
5.075,-15.7915968202041,-3.66454372853094,-3.63305867868267
5.1,-15.7322615893724,-3.66251004124236,-3.63108184688025
5.125,-15.7029136313263,-3.66267003972764,-3.63129757967059
5.15,-15.697129190696,-3.66349587114264,-3.63217855220793
5.175,-15.711291554884,-3.66438920071311,-3.63312896658603
5.2,-15.7434660747667,-3.66509715200502,-3.63389753171044
5.225,-15.7926107758857,-3.66550674602162,-3.63437215600382
5.25,-15.8581737021692,-3.66556829983844,-3.63450364996319
5.275,-15.9398904450902,-3.66526413005438,-3.63427458907988
5.3,-16.0376782404483,-3.66459457988458,-3.63368541728976
5.325,-16.1515776825389,-3.66357126010883,-3.63274772364413
5.35,-16.2817187935491,-3.66221352912773,-3.63148073773476
5.375,-16.4282999341327,-3.66054652527831,-3.62990936645503
5.4,-16.5915734876806,-3.65859999109002,-3.62806301414605
5.425,-16.7718348369712,-3.65640753216821,-3.6259748307108
5.45,-16.9694124310911,-3.65400614497969,-3.62368121951204
5.475,-17.1846572240544,-3.65143595292684,-3.62122154015864
5.5,-17.4179298665973,-3.64874016407947,-3.61863801043353
5.525,-17.669583678066,-3.6459653462771,-3.61597588766336
5.55,-17.9399405967693,-3.64316224939497,-3.61328412521909
5.575,-18.2292552902633,-3.64038767357874,-3.61061694023188
5.6,-18.5376579419114,-3.63770849154539,-3.60803726823464
5.625,-18.8650537988132,-3.63521041691129,-3.60562441596181
5.65,-19.2109205776079,-3.63301793625366,-3.6034917587039
5.675,-19.573822785368,-3.63134181915586,-3.6018299949982
5.7,-19.9500404037255,-3.63059157630216,-3.60101471553682
5.725,-20.329611469128,-3.63154910188752,-3.60180681077722
5.75,-20.692629888528,-3.63452525484896,-3.60479632603454
5.775,-21.0554095861697,-3.63441877722547,-3.60583957333064
5.8,-21.4737278555754,-3.62901046250861,-3.60183055064043
5.825,-21.912596526793,-3.62431336306038,-3.59727254397162
5.85,-22.3440466906265,-3.6213721432465,-3.59387603961413
5.875,-22.7490079135936,-3.61994516693153,-3.59216860323594
5.9,-23.1123981679983,-3.619594675479,-3.59172784514153
5.925,-23.4206816438914,-3.62002163570606,-3.59215120415711
5.95,-23.6599801455944,-3.62108262955112,-3.59324141011371
5.975,-23.8176537971002,-3.62271151816134,-3.59490921722032
6,-23.8847156628751,-3.62487535938733,-3.59711147587568
6.025,-23.8578325493916,-3.62755485499412,-3.59982402811171
6.05,-23.7401772943505,-3.63073567253602,-3.60303004633039
6.075,-23.5408362230487,-3.6344044188075,-3.60671478482321
6.1,-23.2730574361767,-3.63854669898376,-3.61086310890896
6.125,-22.952027506573,-3.64314617501834,-3.61545830969426
6.15,-22.5928672824927,-3.64818413794191,-3.62048155861268
6.175,-22.2092446430701,-3.65363936410898,-3.62591170416629
6.2,-21.8126671204339,-3.65948814069266,-3.63172526639108
6.225,-21.412309851397,-3.66570440071796,-3.63789655508981
6.25,-21.0151746105847,-3.67225993545286,-3.64439787382782
6.275,-20.6264054932631,-3.67912466771306,-3.65119979032894
6.3,-20.2496451578391,-3.68626698024804,-3.65827146652799
6.325,-19.8873682931611,-3.69365410218395,-3.66558105219395
6.35,-19.5411652560156,-3.70125256649908,-3.67309615785009
6.375,-19.2119696439907,-3.70902876724864,-3.68078444079983
6.4,-18.9002336369057,-3.71694967141414,-3.68861436823164
6.425,-18.6060584836777,-3.72498378867961,-3.69655627812962
6.45,-18.3292875590416,-3.7331025986089,-3.70458396828842
6.475,-18.069567456564,-3.74128283286855,-3.71267727375476
6.5,-17.8263789748247,-3.74951045809884,-3.72082659603536
6.525,-17.5990338807318,-3.75778826840507,-3.72904153011404
6.55,-17.3866219322567,-3.76615177829087,-3.7373687004165
