Trace
Swept SA
A.16.17,N9010A
2289300000,-97.4050495903082
2295000000,-96.2368638003245
2300700000,-86.3955170789103
2306400000,-94.662287484366
2312100000,-88.83515595918
2317800000,-84.0383094194939
2323500000,-92.8733401795693
2329200000,-93.9149528834431
2334900000,-94.2460115011939
2340600000,-96.376949207161
2346300000,-84.4382111032302
2352000000,-87.535780170969
2357700000,-87.3940903031455
2363400000,-86.9703527104076
2369100000,-95.6947204273037
2374800000,-83.6645413117874
2380500000,-89.8650402137434
2386200000,-89.5545330724202
2391900000,-87.1969644763449
2397600000,-75.025484731958
2403300000,-91.7922221402941
2409000000,-93.2610786168246
2414700000,-92.0913504243734
2420400000,-92.1703117119314
2426100000,-91.3246356982568
2431800000,-88.4618852451219
2437500000,-92.4856743752586
2443200000,-92.5557180214982
2448900000,-92.2788212684379
2454600000,-93.806419308388
2460300000,-92.1888352992409
2466000000,-91.1161226485292
2471700000,-88.6142790779329
2477400000,-86.9599867763218
2483100000,-91.873162388402
2488800000,-92.6345725428034
2494500000,-94.9532612452086
2500200000,-59.8628320822258
2505900000,-92.648762497916
2511600000,-91.6288978060327
2517300000,-92.6030243853233
2523000000,-92.935850676616
2528700000,-89.1550928603867
2534400000,-91.2935387729416
2540100000,-94.3791598162372
2545800000,-93.3029614257572
2551500000,-97.1812731467001
2557200000,-93.5559112666953
2562900000,-92.8383889379725
2568600000,-93.865401193732
2574300000,-91.0443953470982
2580000000,-81.8428624724282
2585700000,-93.6876225027932
2591400000,-95.3035052055749
2597100000,-92.3016999741242
2602800000,-92.0387675770449
2608500000,-97.3356039757491
2614200000,-96.403927177443
2619900000,-91.8679540962158
2625600000,-81.6587459967079
2631300000,-98.2670054689269
2637000000,-96.8388342726062
2642700000,-85.1649134935816
2648400000,-96.2255684314132
2654100000,-75.4587413178401
2659800000,-96.8391713249611
2665500000,-98.5174075141133
2671200000,-97.4879659153347
2676900000,-95.7831350659437
2682600000,-94.5488125612722
2688300000,-83.2848475551986
2694000000,-93.0580230437244
2699700000,-84.8544778555199
2705400000,-93.0288040304814
2711100000,-93.4922970640469
2716800000,-89.0667167984438
2722500000,-95.3581601400864
