Trace
Swept SA
A.16.17,N9010A
4443900000,-105.588473022856
4449600000,-104.971917249737
4455300000,-105.942690757965
4461000000,-103.97960440414
4466700000,-105.641294533843
4472400000,-104.23931461148
4478100000,-104.187937208451
4483800000,-103.403882994332
4489500000,-105.216265200657
4495200000,-105.043962181467
4500900000,-70.8797812841612
4506600000,-104.226256206467
4512300000,-104.593485361934
4518000000,-104.582887924767
4523700000,-104.590595484857
4529400000,-92.9229343757799
4535100000,-104.556291508542
4540800000,-104.790973852924
4546500000,-104.859312932162
4552200000,-104.810567091309
4557900000,-103.997103999521
4563600000,-103.822996080533
4569300000,-103.696367400698
4575000000,-104.34849938193
4580700000,-104.961960705977
4586400000,-104.908237646665
4592100000,-105.184722064191
4597800000,-104.458235611929
4603500000,-104.645440441953
4609200000,-104.734088250877
4614900000,-105.18852010918
4620600000,-104.958500251951
4626300000,-105.211224946251
4632000000,-104.72191127769
4637700000,-104.108805691548
4643400000,-104.849802188832
4649100000,-105.293030348694
4654800000,-104.19730091922
4660500000,-104.804565587821
4666200000,-105.02188457054
4671900000,-104.616219894598
4677600000,-103.980590594555
4683300000,-104.445179944136
4689000000,-101.676816462678
4694700000,-104.966646576255
4700400000,-104.359729991499
4706100000,-104.205835410446
4711800000,-104.786304368605
4717500000,-105.059766325311
4723200000,-104.175413546592
4728900000,-104.450425164841
4734600000,-104.966766967592
4740300000,-104.415597870734
4746000000,-104.778538922422
4751700000,-104.865458556689
4757400000,-105.23526646605
4763100000,-105.088683076516
4768800000,-105.885267699904
4774500000,-104.425299655822
4780200000,-105.25305926084
4785900000,-105.104419754218
4791600000,-105.027836692759
4797300000,-103.991994527835
4803000000,-104.415852037008
4808700000,-105.165012313637
4814400000,-105.136096324581
4820100000,-105.870343725687
4825800000,-104.827596365854
4831500000,-105.331160458931
4837200000,-104.753753155854
4842900000,-95.7176172959465
4848600000,-105.231450556308
4854300000,-104.912646623704
4860000000,-105.931391158185
4865700000,-105.678426743984
4871400000,-105.659597780734
4877100000,-105.262528055435
4882800000,-106.040640798079
4888500000,-106.428113380249
4894200000,-106.553326597122
4899900000,-105.748731921747
4905600000,-106.797211086829
4911300000,-105.967261175235
4917000000,-106.351683555544
4922700000,-106.115719995606
4928400000,-106.716918058584
4934100000,-106.184366125659
