Trace
Swept SA
A.16.17,N9010A
2597100000,-76.0713573718022
2602800000,-76.5352141906824
2608500000,-73.3078048160111
2614200000,-74.666715525407
2619900000,-78.9898642343819
2625600000,-73.7487690508244
2631300000,-78.1987490381769
2637000000,-80.9081633524691
2642700000,-78.6689145510247
2648400000,-76.2486472028225
2654100000,-71.621281596538
2659800000,-79.9044389558896
2665500000,-78.0731180871612
2671200000,-80.0270122350359
2676900000,-80.7384853550188
2682600000,-79.3699158431698
2688300000,-77.5794244208458
2694000000,-83.0526495505112
2699700000,-79.102847455575
2705400000,-80.9709318049302
2711100000,-78.734279120272
2716800000,-77.2506595525833
2722500000,-77.4930692611149
2728200000,-80.7476936578551
2733900000,-83.1392138563465
2739600000,-81.0064959192425
2745300000,-83.3505667572669
2751000000,-71.0897200223142
2756700000,-79.2003577985435
2762400000,-78.923486131865
2768100000,-82.7774902825246
2773800000,-83.6179511648316
2779500000,-82.4259915032859
2785200000,-79.7546328858832
2790900000,-81.203476038817
2796600000,-83.5995295836822
2802300000,-71.9211340360846
2808000000,-84.5001937944745
2813700000,-66.4180594952386
2819400000,-85.1127133902276
2825100000,-84.52146574187
2830800000,-84.6156984095132
2836500000,-85.7943454323217
2842200000,-83.3207421241283
2847900000,-83.1825892117607
2853600000,-85.1745054290111
2859300000,-83.7275714528031
2865000000,-82.1241352061047
2870700000,-87.3199437832837
2876400000,-71.6974737850548
2882100000,-79.8607043563967
2887800000,-82.2985754377815
2893500000,-80.4560523708467
2899200000,-82.7702932617161
2904900000,-86.2843592298725
2910600000,-83.9920845115993
2916300000,-85.0083300196959
2922000000,-85.2423702849428
2927700000,-79.5879810056995
2933400000,-80.1732389141823
2939100000,-64.529473926394
2944800000,-77.8129026778087
2950500000,-81.3036009528993
2956200000,-81.4962895011912
2961900000,-85.8779135362355
2967600000,-71.7841941495692
2973300000,-86.641943395661
2979000000,-81.8481870369311
2984700000,-81.3323815017079
2990400000,-79.7789844500596
2996100000,-80.3282765102739
3001800000,-61.9039291425899
3007500000,-83.9148870575546
3013200000,-83.7646074718826
3018900000,-80.0602500039524
3024600000,-81.8851269716112
3030300000,-80.725811822281
3036000000,-79.7207374523743
3041700000,-82.209456307642
3047400000,-79.983293724395
3053100000,-79.7509838907249
3058800000,-80.0249325390355
3064500000,-71.1797338593927
3070200000,-77.6801022620973
3075900000,-78.1076493879958
3081600000,-77.6981458655851
3087300000,-38.0847186106703
3093000000,-76.6940785717104
3098700000,-75.6461818710602
3104400000,-78.3965110892582
3110100000,-78.8443798200774
3115800000,-80.241910769067
3121500000,-80.3035269235733
3127200000,-70.7918531961428
3132900000,-78.1871543393898
3138600000,-74.4660280004716
3144300000,-71.7686717882038
3150000000,-79.9741577477118
3155700000,-82.940283672021
3161400000,-80.5047301049343
3167100000,-76.7727446064852
3172800000,-76.6966825869267
3178500000,-80.5246673990695
3184200000,-79.9428709263314
3189900000,-75.4379979245171
3195600000,-75.1463518666428
3201300000,-76.6452622053868
3207000000,-80.9409689712419
3212700000,-79.1953101337791
3218400000,-79.4364900661036
3224100000,-79.6265466265219
3229800000,-77.994512500378
3235500000,-81.1540079867413
3241200000,-79.8528217340687
3246900000,-81.4358911318817
3252600000,-80.4405153577615
3258300000,-82.3062811290772
3264000000,-81.4044530733092
3269700000,-81.5708410617944
3275400000,-85.1466774869587
3281100000,-78.8316309500982
3286800000,-82.0168073291808
3292500000,-80.6404939834343
3298200000,-81.461127285208
3303900000,-85.7875863456074
3309600000,-80.9984905934063
3315300000,-80.6157059225692
3321000000,-85.0879473236084
3326700000,-84.007242543024
3332400000,-83.8997265739194
3338100000,-84.1105993475534
3343800000,-83.9946241768079
3349500000,-83.1283169861889
3355200000,-85.7806753266805
3360900000,-82.8989487482312
3366600000,-84.4908508029896
3372300000,-80.1656742435398
3378000000,-85.496534177894
3383700000,-84.8014857643492
3389400000,-80.9455347375684
3395100000,-81.9695678401989
3400800000,-81.6858514944303
3406500000,-81.040224184552
3412200000,-83.0905320103612
3417900000,-85.1018228399429
3423600000,-88.0557468585074
3429300000,-86.778189261804
3435000000,-80.0482900883978
3440700000,-86.2565965988806
3446400000,-84.3666124282229
3452100000,-82.6056853832267
3457800000,-89.5343016477905
3463500000,-90.5900955437625
3469200000,-88.808542355222
3474900000,-87.6624719809837
3480600000,-87.748217985603
3486300000,-87.9887939090781
3492000000,-88.5415119736172
3497700000,-45.889293717865
3503400000,-85.3090497057728
3509100000,-87.5660627049767
3514800000,-88.7694822613704
3520500000,-87.601179429447
3526200000,-86.7041260362657
3531900000,-88.9187823164473
3537600000,-87.7972381704193
3543300000,-88.8023341556959
3549000000,-86.1912043670932
3554700000,-86.9604066408785
3560400000,-84.2934189879438
3566100000,-86.8446253744824
3571800000,-89.5908639567834
3577500000,-90.7332200093853
3583200000,-84.761988737966
3588900000,-86.8977107179398
3594600000,-72.8562982685251
3600300000,-70.0554319434655
3606000000,-82.4399042950294
3611700000,-85.7942819820975
3617400000,-84.1000165811943
3623100000,-82.8387497912957
3628800000,-89.4575799877
3634500000,-89.4895548871637
3640200000,-86.4031862868658
3645900000,-86.433975172617
3651600000,-87.5232722643787
3657300000,-92.9975843304198
3663000000,-85.4353081451635
3668700000,-86.2938648090339
3674400000,-88.476997662834
3680100000,-88.4229504363819
3685800000,-88.4717155609783
3691500000,-86.9143922723076
3697200000,-88.0899829748312
3702900000,-89.6372373877861
3708600000,-87.8267522670435
3714300000,-86.7302516787828
3720000000,-87.3444209626456
3725700000,-89.4423950824251
3731400000,-87.609242209117
3737100000,-84.8535348877587
3742800000,-85.5689589615393
3748500000,-70.2800765256755
3754200000,-85.6227929947895
3759900000,-87.1311339236384
3765600000,-85.0645030794995
3771300000,-88.3922230086217
3777000000,-85.3058692001438
3782700000,-87.173028545053
3788400000,-83.256561067713
3794100000,-86.0864699337333
3799800000,-87.0633041831209
3805500000,-86.0029864962548
3811200000,-88.5132442108322
3816900000,-85.2570272412096
3822600000,-83.1437223844379
3828300000,-87.9431732932777
3834000000,-87.5366392085931
3839700000,-87.057148021609
3845400000,-85.7289753716587
3851100000,-87.6627289253367
3856800000,-83.3685431994754
3862500000,-85.3901319157015
3868200000,-88.2489647121711
3873900000,-85.4089754496243
3879600000,-87.1078922501064
3885300000,-82.3918055749881
3891000000,-82.0568441595262
3896700000,-83.287195059393
3902400000,-86.8552187682787
3908100000,-73.9278033244799
3913800000,-87.0227912343903
3919500000,-83.5332855793684
3925200000,-81.8145379251221
3930900000,-83.4337607436525
3936600000,-86.5760536349312
3942300000,-87.775089611992
3948000000,-85.8543518140758
3953700000,-84.1677338841909
3959400000,-86.2686470099879
3965100000,-85.6348489104334
3970800000,-82.8255243665345
3976500000,-84.2470813302021
3982200000,-79.3526988986554
3987900000,-79.7579288253452
3993600000,-83.2365469656306
3999300000,-63.7754996698717
4005000000,-86.7717081535606
4010700000,-84.562844084148
4016400000,-84.0861415977493
4022100000,-86.2229012612331
4027800000,-85.0777612985896
4033500000,-85.5885939287028
4039200000,-85.1979391126234
4044900000,-84.4767614362637
4050600000,-85.8584098850463
4056300000,-85.6588190803352
4062000000,-72.6804806341499
4067700000,-86.2249967119011
4073400000,-86.7725249490861
4079100000,-84.6998289997676
4084800000,-82.1995835350716
4090500000,-82.4711113034457
4096200000,-84.7281627139568
4101900000,-81.2572289445485
4107600000,-84.8070351526943
4113300000,-88.7454553299495
4119000000,-44.9910669489309
4124700000,-83.623450832158
4130400000,-90.9634730459292
4136100000,-90.4668835573627
4141800000,-85.7713797048029
4147500000,-86.9154197726437
4153200000,-90.2972562283296
4158900000,-86.5485785048693
4164600000,-84.3676020727105
4170300000,-85.2455872587033
4176000000,-88.4632178182525
4181700000,-91.1570728555586
