Trace
Swept SA
A.16.17,N9010A
2477400000,-99.7913551962054
2483100000,-99.704958699306
2488800000,-99.5624868717182
2494500000,-99.5588138178416
2500200000,-100.338885433395
2505900000,-100.110948800897
2511600000,-99.6371088095561
2517300000,-100.313177174096
2523000000,-99.6552439046688
2528700000,-100.277545408612
2534400000,-100.155085916882
2540100000,-100.795581730061
2545800000,-98.9882468466353
2551500000,-100.497237789522
2557200000,-100.829830273694
2562900000,-99.7547554167199
2568600000,-100.21015576909
2574300000,-99.4095039264681
2580000000,-100.603389684131
2585700000,-100.888413308898
2591400000,-100.57909551841
2597100000,-100.010733930273
2602800000,-100.83657873792
2608500000,-100.017454288256
2614200000,-100.505097909083
2619900000,-101.481225441749
2625600000,-100.848526158766
2631300000,-101.116844438789
2637000000,-100.874755837488
2642700000,-101.536991233757
2648400000,-100.82210850318
2654100000,-100.086910779694
2659800000,-101.384599056212
2665500000,-101.219612709513
2671200000,-101.620027075822
2676900000,-101.858624166617
2682600000,-101.611638941246
2688300000,-101.283048895431
2694000000,-101.786306001484
2699700000,-101.851475963808
2705400000,-100.964333848095
2711100000,-101.570489811477
2716800000,-101.547657899387
2722500000,-101.050547825421
2728200000,-100.347549569965
2733900000,-101.314667098945
2739600000,-101.674089852034
2745300000,-100.628511279811
2751000000,-100.978916620473
2756700000,-101.208015472216
2762400000,-101.578590674756
2768100000,-101.104833732192
2773800000,-101.542636824208
2779500000,-101.435602353161
2785200000,-101.652934010534
2790900000,-100.80486800418
2796600000,-101.131814777485
2802300000,-100.567952863208
2808000000,-101.717339434091
2813700000,-101.37933852642
2819400000,-101.578194775262
2825100000,-101.322807592646
2830800000,-101.219357798608
2836500000,-100.929647673634
2842200000,-101.415329030983
2847900000,-100.426602977026
2853600000,-101.066030990384
2859300000,-100.20256843412
2865000000,-101.379131900208
2870700000,-100.948367170052
2876400000,-100.735757185262
2882100000,-101.226756512058
2887800000,-100.506287104192
2893500000,-100.002259283702
2899200000,-100.936215463593
2904900000,-101.25829450884
2910600000,-100.552474055794
2916300000,-101.050941274651
2922000000,-101.163958494881
2927700000,-100.337465963347
2933400000,-100.507259373613
2939100000,-100.847631055578
2944800000,-101.172475527162
2950500000,-100.461155144341
2956200000,-101.017871225421
2961900000,-101.134823526493
2967600000,-100.656704599606
2973300000,-99.993636246661
2979000000,-100.722882104933
2984700000,-99.3619100751723
2990400000,-100.934861355694
2996100000,-101.136326026124
3001800000,-101.488828142872
3007500000,-100.871229026139
3013200000,-101.02493493841
3018900000,-101.552911486056
3024600000,-100.493557531848
3030300000,-101.42825513132
3036000000,-101.179640368882
3041700000,-101.329385113098
3047400000,-100.798386749896
3053100000,-100.412363627891
3058800000,-100.576364485934
3064500000,-100.852361082365
3070200000,-101.2777947407
3075900000,-100.914241822103
3081600000,-101.27216802121
3087300000,-101.6416918482
3093000000,-101.572502451589
3098700000,-101.868582340996
3104400000,-101.829737770067
3110100000,-100.887291225872
3115800000,-101.497620266954
3121500000,-101.5769202584
3127200000,-100.825189048616
3132900000,-99.6977264667725
3138600000,-101.447913802678
3144300000,-102.174755139661
3150000000,-101.371549130189
3155700000,-102.147051158081
3161400000,-101.75021118766
3167100000,-100.894123427413
3172800000,-102.016374222696
3178500000,-101.984638094563
3184200000,-102.410460087684
3189900000,-101.617906410816
3195600000,-101.289991526954
3201300000,-100.876392496248
3207000000,-101.719615369277
3212700000,-100.801298689891
3218400000,-100.562864854775
3224100000,-101.508920750211
3229800000,-101.27557078541
3235500000,-102.238314187815
3241200000,-101.174599368642
3246900000,-101.433503566742
3252600000,-101.733213391049
3258300000,-101.8105199691
3264000000,-102.000022540373
3269700000,-102.290293609893
3275400000,-102.481203624188
3281100000,-102.285093534607
3286800000,-101.924837486129
3292500000,-102.359691043805
3298200000,-102.28283445246
3303900000,-101.920902349339
3309600000,-102.65430738113
3315300000,-102.059688596769
3321000000,-102.776226525941
3326700000,-101.915374752426
3332400000,-102.056170362664
3338100000,-101.758853226676
3343800000,-102.748502005724
3349500000,-102.509595457115
3355200000,-103.01765684693
3360900000,-102.661490834015
3366600000,-102.649887597466
3372300000,-102.345709519822
3378000000,-102.657180225814
3383700000,-102.621617829899
3389400000,-102.865886195172
3395100000,-102.917344445747
3400800000,-103.183470571259
3406500000,-103.298745279159
3412200000,-102.65218165686
3417900000,-102.115128240597
3423600000,-102.748888803831
3429300000,-102.690922136414
